schcode,year,school,complexname,complexareaname,schooltypename,classification,totalindex,classificationplace
153,2014,John H. Wilson Elementary,Kalani,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,307,3
154,2013,Henry J. Kaiser High,Kaiser,Farrington-Kaiser-Kalani,High,Continuous Improvement,241,3
154,2014,Henry J. Kaiser High,Kaiser,Farrington-Kaiser-Kalani,High,Continuous Improvement,225,3
155,2013,Kamiloiki Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,323,3
155,2014,Kamiloiki Elementary,Kaiser,Farrington-Kaiser-Kalani,Elementary,Continuous Improvement,316,3
200,2013,Aiea Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,238,3
200,2014,Aiea Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,44,3
201,2013,Aiea Intermediate,Aiea,Aiea-Moanalua-Radford,Middle,Continuous Improvement,293,3
201,2014,Aiea Intermediate,Aiea,Aiea-Moanalua-Radford,Middle,Continuous Improvement,290,3
202,2013,Aiea High,Aiea,Aiea-Moanalua-Radford,High,Continuous Improvement,226,3
202,2014,Aiea High,Aiea,Aiea-Moanalua-Radford,High,Continuous Improvement,202,3
203,2013,Aliamanu Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,259,3
203,2014,Aliamanu Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,330,3
204,2013,Aliamanu Middle,Radford,Aiea-Moanalua-Radford,Middle,Continuous Improvement,194,3
204,2014,Aliamanu Middle,Radford,Aiea-Moanalua-Radford,Middle,Continuous Improvement,135,3
206,2013,Haleiwa Elementary,Waialua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,242,3
206,2014,Haleiwa Elementary,Waialua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,256,3
207,2013,Hale Kula Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,178,3
207,2014,Hale Kula Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,228,3
208,2013,Helemano Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,230,3
208,2014,Helemano Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Recognition,375,4
209,2013,Horace Meek Hickam Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Recognition,384,4
209,2014,Horace Meek Hickam Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Recognition,352,4
210,2013,Iliahi Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,247,3
210,2014,Iliahi Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,302,3
211,2013,Kaala Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,258,3
211,2014,Kaala Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,191,3
212,2013,Kipapa Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,318,3
212,2014,Kipapa Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,219,3
214,2013,Leilehua High,Leilehua,Leilehua-Mililani-Waialua,High,Continuous Improvement,211,3
214,2014,Leilehua High,Leilehua,Leilehua-Mililani-Waialua,High,Continuous Improvement,228,3
215,2013,Makalapa Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,311,3
215,2014,Makalapa Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,345,3
216,2013,Mililani High,Mililani,Leilehua-Mililani-Waialua,High,Continuous Improvement,295,3
216,2014,Mililani High,Mililani,Leilehua-Mililani-Waialua,High,Continuous Improvement,250,3
217,2013,Moanalua Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,161,3
217,2014,Moanalua Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,301,3
218,2013,Moanalua High,Moanalua,Aiea-Moanalua-Radford,High,Continuous Improvement,240,3
218,2014,Moanalua High,Moanalua,Aiea-Moanalua-Radford,High,Continuous Improvement,269,3
219,2013,Moanalua Middle,Moanalua,Aiea-Moanalua-Radford,Middle,Continuous Improvement,191,3
219,2014,Moanalua Middle,Moanalua,Aiea-Moanalua-Radford,Middle,Continuous Improvement,278,3
220,2013,Mokulele Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,300,3
220,2014,Mokulele Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,284,3
221,2013,Chester W. Nimitz Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,275,3
221,2014,Chester W. Nimitz Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,275,3
222,2013,Pearl Harbor Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,165,3
222,2014,Pearl Harbor Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,237,3
223,2013,Pearl Harbor Kai Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,338,3
223,2014,Pearl Harbor Kai Elementary,Radford,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,255,3
224,2013,Admiral Arthur W. Radford High,Radford,Aiea-Moanalua-Radford,High,Continuous Improvement,262,3
224,2014,Admiral Arthur W. Radford High,Radford,Aiea-Moanalua-Radford,High,Continuous Improvement,239,3
225,2013,Red Hill Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Recognition,376,4
225,2014,Red Hill Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Recognition,378,4
226,2013,Samuel K. Solomon Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,153,3
226,2014,Samuel K. Solomon Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,183,3
227,2013,Alvah A. Scott Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,203,3
227,2014,Alvah A. Scott Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,203,3
228,2013,William R. Shafter Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,286,3
228,2014,William R. Shafter Elementary,Moanalua,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,327,3
229,2013,Wahiawa Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,185,3
229,2014,Wahiawa Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,132,3
230,2013,Wahiawa Middle,Leilehua,Leilehua-Mililani-Waialua,Middle,Continuous Improvement,209,3
230,2014,Wahiawa Middle,Leilehua,Leilehua-Mililani-Waialua,Middle,Continuous Improvement,137,3
231,2013,Waialua Elementary,Waialua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,237,3
231,2014,Waialua Elementary,Waialua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,224,3
232,2013,Waialua High & Intermediate,Waialua,Leilehua-Mililani-Waialua,High,Continuous Improvement,211,3
232,2014,Waialua High & Intermediate,Waialua,Leilehua-Mililani-Waialua,High,Continuous Improvement,198,3
233,2013,Waimalu Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,138,3
233,2014,Waimalu Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,230,3
234,2013,Mililani Waena Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,281,3
234,2014,Mililani Waena Elementary,Mililani,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,245,3
235,2013,Gustave H. Webling Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,210,3
235,2014,Gustave H. Webling Elementary,Aiea,Aiea-Moanalua-Radford,Elementary,Continuous Improvement,169,3
236,2013,Major Sheldon Wheeler Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,263,3
236,2014,Major Sheldon Wheeler Elementary,Leilehua,Leilehua-Mililani-Waialua,Elementary,Continuous Improvement,176,3
237,2013,Major Sheldon Wheeler Middle,Leilehua,Leilehua-Mililani-Waialua,Middle,Continuous Improvement,312,3
237,2014,Major Sheldon Wheeler Middle,Leilehua,Leilehua-Mililani-Waialua,Middle,Continuous Improvement,327,3
238,2013,Mililani Middle,Mililani,Leilehua-Mililani-Waialua,Middle,Continuous Improvement,243,3
