schcode,year,school,complexname,complexareaname,schooltypename,classification,totalindex,classificationplace
462,2014,Waimea High,Waimea,Kapaa-Kauai-Waimea,High,Continuous Improvement,181,3
463,2013,Elsie H. Wilcox Elementary,Kauai,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,265,3
463,2014,Elsie H. Wilcox Elementary,Kauai,Kapaa-Kauai-Waimea,Elementary,Continuous Improvement,268,3
464,2013,Waimea Canyon Middle,Waimea,Kapaa-Kauai-Waimea,Middle,Continuous Improvement,137,3
464,2014,Waimea Canyon Middle,Waimea,Kapaa-Kauai-Waimea,Middle,Continuous Improvement,234,3
466,2013,Kula Aupuni Niihau A Kahelelani Aloha New Century PCS,Charter Schools,Charter Schools,High,Continuous Improvement,238,3
466,2014,Kula Aupuni Niihau A Kahelelani Aloha New Century PCS,Charter Schools,Charter Schools,High,Continuous Improvement,275,3
470,2013,Hawaii School for the Deaf & the Blind,Kalani,Farrington-Kaiser-Kalani,High,Priority,137,1
470,2014,Hawaii School for the Deaf & the Blind,Kalani,Farrington-Kaiser-Kalani,High,Priority,83,1
475,2013,Olomana,Kailua,Kailua-Kalaheo,High,Priority,48,1
475,2014,Olomana,Kailua,Kailua-Kalaheo,High,Priority,59,1
540,2013,Halau Ku Mana NCPCS,Charter Schools,Charter Schools,High,Continuous Improvement,133,3
540,2014,Halau Ku Mana PCS,Charter Schools,Charter Schools,High,Continuous Improvement,238,3
541,2013,Voyager PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,185,3
541,2014,Voyager PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,316,3
542,2013,Halau Lokahi NCPCS,Charter Schools,Charter Schools,High,Continuous Improvement,140,3
542,2014,Halau Lokahi PCS,Charter Schools,Charter Schools,High,Continuous Improvement,140,3
543,2013,Education Laboratory NCPCS,Charter Schools,Charter Schools,High,Continuous Improvement,249,3
543,2014,University Laboratory School,Charter Schools,Charter Schools,High,Continuous Improvement,265,3
544,2013,Myron B. Thompson Academy A New Century PCS,Charter Schools,Charter Schools,High,Continuous Improvement,297,3
544,2014,Myron B. Thompson Academy PCS,Charter Schools,Charter Schools,High,Continuous Improvement,290,3
545,2013,Ka Waihona o ka Naauao NCPCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,182,3
545,2014,Ka Waihona o ka Naauao PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,146,3
546,2013,Hakipuu Learning Center PCS,Charter Schools,Charter Schools,High,Priority,84,1
546,2014,Hakipuu Learning Center PCS,Charter Schools,Charter Schools,High,Priority,107,1
547,2013,Ke Kula `o Samuel M. Kamakau Laboratory PCS,Charter Schools,Charter Schools,High,Continuous Improvement,173,3
547,2014,Ke Kula `o Samuel M. Kamakau Laboratory PCS,Charter Schools,Charter Schools,High,Continuous Improvement,202,3
548,2013,Innovations PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,139,3
548,2014,Innovations PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,304,3
549,2013,Ke Ana Laahana PCS,Charter Schools,Charter Schools,High,Continuous Improvement,147,3
549,2014,Ke Ana Laahana PCS,Charter Schools,Charter Schools,High,Continuous Improvement,170,3
551,2013,Hawaii Technology Academy PCS,Charter Schools,Charter Schools,High,Focus,202,2
551,2014,Hawaii Technology Academy PCS,Charter Schools,Charter Schools,High,Focus,199,2
554,2013,Kihei Charter School,Charter Schools,Charter Schools,High,Focus,235,2
554,2014,Kihei Charter School,Charter Schools,Charter Schools,High,Focus,208,2
556,2013,Ke Kula Ni`ihau o Kekaha Learning Center A Laboratory PCS,Charter Schools,Charter Schools,High,Priority,17,1
556,2014,Ke Kula Ni`ihau o Kekaha Learning Center A Laboratory PCS,Charter Schools,Charter Schools,High,Focus,151,2
557,2013,Kua o ka La PCS,Charter Schools,Charter Schools,High,Continuous Improvement,135,3
557,2014,Kua o ka La PCS,Charter Schools,Charter Schools,High,Continuous Improvement,124,3
560,2013,Volcano School of Arts and Sciences A Community PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,247,3
560,2014,Volcano School of Arts and Sciences A Community PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,103,3
561,2013,Hawaii Academy of Arts and Science PCS,Charter Schools,Charter Schools,High,Focus,192,2
561,2014,Hawaii Academy of Arts and Science PCS,Charter Schools,Charter Schools,High,Focus,243,2
562,2013,Ka `Umeke Ka`eo PCS,Charter Schools,Charter Schools,High,Priority,36,1
562,2014,Ka `Umeke Ka`eo PCS,Charter Schools,Charter Schools,High,Priority,104,1
563,2013,Ke Kula `o Nawahiokalani`opu`u Iki Laboratory PCS,Charter Schools,Charter Schools,Middle,Priority,20,1
563,2014,Ke Kula `o Nawahiokalani`opu`u Iki Laboratory PCS,Charter Schools,Charter Schools,Middle,Priority,76,1
564,2013,Kanuikapono Learning Center PCS,Charter Schools,Charter Schools,High,Continuous Improvement,135,3
564,2014,Kanuikapono Learning Center PCS,Charter Schools,Charter Schools,High,Continuous Improvement,154,3
565,2013,Kawaikini NCPCS,Charter Schools,Charter Schools,High,Continuous Improvement,158,3
565,2014,Kawaikini PCS,Charter Schools,Charter Schools,High,Continuous Improvement,202,3
566,2013,Kona Pacific PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,125,3
566,2014,Kona Pacific PCS,Charter Schools,Charter Schools,Middle,Continuous Improvement,168,3
567,2014,School for Examining Essential Questions of Sustainability,Charter Schools,Charter Schools,Elementary,Classification Not Determined,118,0
